Stock Ticker,Date,Time,Open,High,Low,Close,Volume
FB,04/01/16,15:00:00,113.75,116.17,113.35,116.06,24725954
FB,04/04/16,15:00:00,114.07,114.55,111.61,112.55,48382180
FB,04/05/16,15:00:00,112.11,113.32,111.9,112.22,22752484
FB,04/06/16,15:00:00,112.47,113.81,112.42,113.71,20522412
FB,04/07/16,15:00:00,113.79,114.89,113.07,113.64,20324759
FB,04/08/16,15:00:00,114.25,114.33,109.9,110.63,48424776
FB,04/11/16,15:00:00,110.7,110.91,108.77,108.99,39563863
FB,04/12/16,15:00:00,109.34,111.16,108.99,110.61,26175943
FB,04/13/16,15:00:00,112.23,112.65,106.52,110.51,88113011
FB,04/14/16,15:00:00,110.62,112.04,110.26,110.84,28430914
FB,04/15/16,15:00:00,110.79,110.97,109.2,109.64,20763396
FB,04/18/16,15:00:00,109.74,110.81,109.2,110.45,21092654
FB,04/19/16,15:00:00,111.1,112.45,109.16,112.29,30147644
FB,04/20/16,15:00:00,112.43,113.27,111.56,112.42,20998319
FB,04/21/16,15:00:00,112.55,114.04,112.31,113.44,20409388
FB,04/22/16,15:00:00,111.21,111.75,109.01,110.56,38330597
FB,04/25/16,15:00:00,109.87,110.67,109.07,110.1,20979671
FB,04/26/16,15:00:00,110.49,110.5,108.15,108.76,22189916
FB,04/27/16,15:00:00,107.94,108.94,106.31,108.89,44036820
FB,04/28/16,15:00:00,119.58,120.79,116.23,116.73,86746016
FB,04/29/16,15:00:00,116.82,117.84,115.84,117.58,37031156
FB,05/02/16,15:00:00,117.83,118.73,116.57,118.57,27769280
FB,05/03/16,15:00:00,117.52,118.16,117.02,117.43,23746203
FB,05/04/16,15:00:00,116.61,118.3,116.57,118.06,23380209
FB,05/05/16,15:00:00,118.04,118.98,117.25,117.81,21999237
FB,05/06/16,15:00:00,117.16,119.64,117.11,119.49,26216236
FB,05/09/16,15:00:00,119.54,120.28,118.9,119.24,21077084
FB,05/10/16,15:00:00,119.62,120.5,119,120.5,22803690
FB,05/11/16,15:00:00,120.41,121.08,119.42,119.52,21927392
FB,05/12/16,15:00:00,119.98,120.84,118.9,120.28,21636556
FB,05/13/16,15:00:00,120.38,120.64,119.68,119.81,18047101
FB,05/16/16,15:00:00,119.38,119.61,117.35,118.67,31178289
FB,05/17/16,15:00:00,118.82,119.01,117.2,117.35,21269720
FB,05/18/16,15:00:00,116.8,118.27,116.73,117.65,21571824
FB,05/19/16,15:00:00,117.05,117.49,115.88,116.81,20485379
FB,05/20/16,15:00:00,116.96,117.99,116.95,117.35,18870608
FB,05/23/16,15:00:00,117.42,117.6,115.94,115.97,20367390
FB,05/24/16,15:00:00,116.24,117.73,116.12,117.7,20074093
FB,05/25/16,15:00:00,118.13,118.67,117.38,117.89,20019778
FB,05/26/16,15:00:00,118.24,119.76,117.92,119.47,18191472
FB,05/27/16,15:00:00,119.56,119.85,119.01,119.38,13464434
FB,05/31/16,15:00:00,119.46,120.1,118.12,118.81,23547597
FB,06/01/16,15:00:00,118.5,119.08,117.82,118.78,15029494
FB,06/02/16,15:00:00,118.69,119.44,118.22,118.93,13228310
FB,06/03/16,15:00:00,118.97,118.98,117.86,118.47,14135114
FB,06/06/16,15:00:00,118.62,119.43,118.36,118.79,12744676
FB,06/07/16,15:00:00,119.24,119.3,117.67,117.76,17103023
FB,06/08/16,15:00:00,117.76,118.6,117.27,118.39,14505596
FB,06/09/16,15:00:00,118.13,118.68,117.71,118.56,13859240
FB,06/10/16,15:00:00,117.54,118.11,116.26,116.62,18510826
FB,06/13/16,15:00:00,115,115.48,113.31,113.95,31718239
FB,06/14/16,15:00:00,114.07,114.95,113.58,114.94,17618479
FB,06/15/16,15:00:00,115.3,115.44,114.07,114.6,19819432
