Stock Ticker,Date,Time,Open,High,Low,Close,Volume
AAPL,2016-09-30,09:00:00,112.46,113.23,112.45,112.85,4694712
AAPL,2016-09-30,10:00:00,112.85,112.92,111.80,112.55,6584493
AAPL,2016-09-30,11:00:00,112.55,112.91,112.53,112.78,4173174
AAPL,2016-09-30,12:00:00,112.78,113.11,112.78,112.98,2590735
AAPL,2016-09-30,13:00:00,112.97,113.22,112.92,113.21,2002562
AAPL,2016-09-30,14:00:00,113.20,113.27,113.06,113.25,2148041
AAPL,2016-09-30,15:00:00,113.24,113.37,112.90,112.97,10282636
