ID,Text,verified,retweet_count,favorites_count,follower_count,sentiment,capitals,exclamation_marks,question_marks,emoticons
782836771478396928,u'@KarlSisu #StockTip - $UBQU is the hottest #mmjstocks #marijuanastocks #mjstocks right now. $SPCL $TBEV $DLCR $AAPL $SFOR',False,0,0,769,0.0,28,0,0,0
782834508210909184,"u'You got em right where you want em @Apple. Make your move in 2017, @tim_cook. $AAPL #OneMoreThing https://t.co/3E1gfKjQKp'",False,1,2,541,1.0,14,0,0,0
782833218785542145,"u""John Hussman's Best-Performing Investments $GRMN $AAPL $DLB $BAK $CPRT $SANM $MTZ https://t.co/jtL49LdnpL""",False,1,4,23420,3.0,33,0,0,0
782829778260733953,u'Best Sector ETFs For October https://t.co/wHyCpQ1b5T $AAPL $AMZN $XLE  via @benzinga',False,1,2,4522,3.0,22,0,0,0
782825754409078784,"u'Week Ahead (Oct 03 - 07) Market Strategies $SAM, $AAPL, $ENZ, $WAL, $PFBC, $UVXY, $NSC, $MG, $STZ, $T, $SPXU, $UNP  https://t.co/1YSJGx1DoX'",False,1,2,830,0.0,48,0,0,0
782823736701366272,u'RT @JustinPulitzer: Weekend Review VIDEO 10/2 $VIX $TLT $DB $WFC $XOM $IBB $BABA $SPY $IWM $QQQ $AAPL $AMZN $TWTR $FB $GOOGL $ACIA $TWLO ht\u2026',False,12,0,194,0.0,68,0,0,0
782823607940460544,"u'Any news on the douche bank settlement, or will that be the $AAPL Irish settlement ??'",False,1,2,1722,-1.0,6,0,2,0
782821720445026304,u'RT @AnalystActions: $AAPL: Analyst action by Citigroup on Apple: https://t.co/oaNza82q0b https://t.co/WI7JaiGbmS',False,1,0,1336,0.0,17,0,0,0
782821719543279616,u'RT @TCBFx: The Closing Bell is out! https://t.co/fYetwDOmOU $EURUSD $GBPUSD $USDJPY $AUDUSD $SPY $TWTR $GPRO $YHOO $LNKD $FB $AAPL $BRD $CA\u2026',False,1,0,1336,0.0,68,1,0,0
782821717362274306,"u""RT @DavidASEM: I'll tie them up in litigation so big so #HUGE on #RoshHashanah that they'll be bleeding Swiss/German franks and $AAPL $CVX\u2026""",False,1,0,1336,1.0,23,0,0,0
782821716531748866,u'RT @2waystrading: $AAPL chart https://t.co/R4laPXOnfq via https://t.co/SbYB4hFAcB',False,1,0,1336,0.0,16,0,0,0
782821715676127232,u'RT @InterMerger: VirnetX wins $302M ruling against Apple $AAPL $VHC https://t.co/FPuEjfuaFn',False,1,0,1336,4.0,19,0,0,0
782821493570961408,u'$AAPL: Analyst action by Citigroup on Apple: https://t.co/oaNza82q0b https://t.co/WI7JaiGbmS',False,1,1,369,0.0,13,0,0,0
